issue_key,issue_inicio,issue_fin,release_name,release_quarter,release_squad,release_tribu
PROJ-10000,2025-09-06,2025-09-27,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10001,2025-10-15,2025-11-11,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10002,2025-03-28,2025-05-21,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10003,2025-02-09,2025-10-30,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10004,2025-12-13,2025-12-26,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10005,2025-08-18,2025-11-08,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10006,2025-01-12,2025-02-17,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10007,2025-04-01,2025-10-14,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10008,2025-01-11,2025-08-17,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10009,2025-10-06,2025-12-08,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10010,2025-07-31,2025-10-21,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10011,2025-06-24,2025-10-16,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10012,2025-11-11,2025-11-11,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10013,2025-09-29,2025-11-09,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10014,2025-04-18,2025-06-18,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10015,2025-10-24,2025-11-26,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10016,2025-02-06,2025-07-03,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10017,2025-05-20,2025-09-30,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10018,2025-04-13,2025-04-30,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10019,2025-06-28,2025-10-10,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10020,2025-12-25,2025-12-29,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10021,2025-08-03,2025-09-29,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10022,2025-08-29,2025-11-07,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10023,2025-03-16,2025-12-15,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10024,2025-01-18,2025-10-02,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10025,2025-10-28,2025-11-25,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10026,2025-11-29,2025-12-10,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10027,2025-05-28,2025-09-13,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10028,2025-09-04,2025-11-14,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10029,2025-05-24,2025-10-09,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10030,2025-09-18,2025-11-09,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10031,2025-12-30,2025-12-31,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10032,2025-01-28,2025-09-22,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10033,2025-03-08,2025-10-01,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10034,2025-04-06,2025-06-08,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10035,2025-05-28,2025-09-10,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10036,2025-09-25,2025-11-06,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10037,2025-05-06,2025-05-28,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10038,2025-11-16,2025-11-17,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10039,2025-06-05,2025-09-17,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10040,2025-03-23,2025-10-30,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10041,2025-05-03,2025-07-24,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10042,2025-07-13,2025-09-28,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10043,2025-06-28,2025-07-25,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10044,2025-02-24,2025-05-31,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10045,2025-08-07,2025-11-19,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10046,2025-10-18,2025-12-13,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10047,2025-12-15,2025-12-29,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10048,2025-05-21,2025-08-14,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10049,2025-07-17,2025-10-21,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10050,2025-10-21,2025-10-26,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10051,2025-03-01,2025-10-31,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10052,2025-11-04,2025-12-15,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10053,2025-01-25,2025-06-24,Release 24.7,Q4-2025,Plataforma,Operaciones
